CURSO,GENERO,TIPO,CAMPUS,GPA,IGS
2013-2014,Masculino,Privada,BAYAMON,2.43,248
2012-2013,Masculino,Publica,UTUADO,2.88,208
2012-2013,Masculino,Publica,CAYEY,3.77,273
2009-2010,Masculino,Publica,RIOPIEDRAS,3.77,352
2013-2014,Femenino,Privada,RUM,3.3,275
2012-2013,Femenino,Publica,CAROLINA,3.39,272
2009-2010,Femenino,Privada,RUM,4,368
2010-2011,Masculino,Publica,CAROLINA,3.39,277
2013-2014,Femenino,Privada,RIOPIEDRAS,3.7,328
2009-2010,Masculino,Publica,PONCE,3.77,352
2011-2012,Masculino,Privada,RUM,3.84,323
2013-2014,Femenino,Privada,RIOPIEDRAS,3.7,328
2012-2013,Femenino,Privada,RUM,4,380
2013-2014,Femenino,Privada,RUM,3.88,323
2011-2012,Femenino,Privada,RIOPIEDRAS,3.96,339
2011-2012,Femenino,Privada,BAYAMON,3.74,334
2010-2011,Masculino,Privada,RUM,3.78,331
2011-2012,Femenino,Publica,CAROLINA,3.59,273
2011-2012,Masculino,Privada,RUM,3.84,323
2013-2014,Femenino,Privada,RUM,3.92,341
2011-2012,Femenino,Privada,RUM,4,332
2010-2011,Femenino,Publica,ARECIBO,3.34,288
2013-2014,Masculino,Privada,RIOPIEDRAS,3.33,298
2010-2011,Femenino,Privada,RUM,3.94,333
2010-2011,Femenino,Publica,RIOPIEDRAS,3.95,320
2009-2010,Masculino,Privada,RUM,3.6,295
2009-2010,Femenino,Publica,PONCE,3.3,260
2011-2012,Femenino,Privada,RIOPIEDRAS,3.73,342
2009-2010,Femenino,Privada,RIOPIEDRAS,2.94,248
2013-2014,Femenino,Publica,ARECIBO,4,262
2013-2014,Femenino,Privada,RUM,3.7,267
2013-2014,Femenino,Publica,PONCE,4,262
2012-2013,Femenino,Publica,ARECIBO,4,330
2010-2011,Femenino,Publica,CAYEY,3.33,272
2009-2010,Masculino,Privada,BAYAMON,2.89,276
2011-2012,Masculino,Privada,RIOPIEDRAS,3.79,353
2012-2013,Femenino,Privada,AGUADILLA,4,301
2012-2013,Masculino,Privada,RIOPIEDRAS,3.33,271
2013-2014,Femenino,Publica,RUM,3.72,305
2011-2012,Femenino,Publica,CAROLINA,3.39,288
2011-2012,Femenino,Publica,RUM,3.31,270
2013-2014,Femenino,Privada,RIOPIEDRAS,4,358
2011-2012,Femenino,Estados Unidos,RUM,3.91,354
2010-2011,Femenino,Privada,AGUADILLA,3.94,333
2013-2014,Femenino,Privada,RUM,3.25,313
2011-2012,Masculino,Publica,CAYEY,3.83,302
2011-2012,Femenino,Publica,RUM,3.88,341
2013-2014,Femenino,Publica,ARECIBO,3.69,317
2009-2010,Femenino,Privada,RIOPIEDRAS,3.6,310
2009-2010,Masculino,Publica,CAROLINA,3.37,287
2010-2011,Masculino,Privada,ARECIBO,3.19,271
2009-2010,Masculino,Publica,UTUADO,2.64,213
2009-2010,Masculino,Privada,RIOPIEDRAS,3.75,354
2012-2013,Masculino,Privada,RIOPIEDRAS,3.82,351
2011-2012,Masculino,Publica,AGUADILLA,3.83,302
2013-2014,Femenino,Publica,ARECIBO,3.69,317
2012-2013,Masculino,Publica,UTUADO,2.77,211
2011-2012,Femenino,Publica,ARECIBO,3.42,271
2013-2014,Femenino,Privada,RIOPIEDRAS,3.81,315
2009-2010,Femenino,Publica,ARECIBO,3.88,304
2010-2011,Masculino,Privada,CAROLINA,3.33,290
2010-2011,Masculino,Publica,CAROLINA,3.34,285
2013-2014,Femenino,Publica,CAROLINA,3.69,270
2009-2010,Masculino,Privada,RIOPIEDRAS,3.96,347
2012-2013,Femenino,Publica,BAYAMON,3.87,320
2010-2011,Femenino,Publica,AGUADILLA,2.45,232
2013-2014,Masculino,Publica,AGUADILLA,3.37,246
2010-2011,Masculino,Privada,CAROLINA,3.33,290
2013-2014,Femenino,Publica,CAROLINA,3.18,228
2011-2012,Femenino,Privada,RUM,3.25,270
2010-2011,Femenino,Privada,BAYAMON,3.54,317
2013-2014,Masculino,Privada,CAROLINA,3.55,327
2010-2011,Femenino,Privada,RIOPIEDRAS,4,354
2010-2011,Masculino,Publica,RIOPIEDRAS,3.34,285
2011-2012,Masculino,Publica,ARECIBO,3.97,294
2011-2012,Femenino,Privada,RIOPIEDRAS,3.54,308
2009-2010,Masculino,Publica,HUMACAO,3.36,275
2010-2011,Femenino,Privada,RUM,4,359
2012-2013,Masculino,Privada,RUM,3.55,327
2009-2010,Femenino,Publica,ARECIBO,3.91,362
2011-2012,Masculino,Publica,PONCE,2.83,271
2012-2013,Femenino,Privada,RUM,3.32,290
2009-2010,Masculino,Publica,CAROLINA,3.14,266
2009-2010,Masculino,Publica,AGUADILLA,4,284
2013-2014,Masculino,Privada,RUM,4,343
2012-2013,Femenino,Privada,CAROLINA,3.4,299
2011-2012,Femenino,Publica,HUMACAO,3.22,269
2011-2012,Masculino,Publica,CAROLINA,2.78,242
2012-2013,Femenino,Privada,BAYAMON,3.23,295
2011-2012,Masculino,Privada,RUM,4,372
2013-2014,Femenino,Publica,CAROLINA,3.68,261
2009-2010,Masculino,Privada,UTUADO,3.48,230
2009-2010,Masculino,Privada,BAYAMON,2.92,277
2011-2012,Masculino,Privada,ARECIBO,3.92,337
2013-2014,Masculino,Publica,RUM,3.9,327
2010-2011,Masculino,Publica,PONCE,3.59,279
2009-2010,Masculino,Privada,BAYAMON,3.38,289
2009-2010,Femenino,Publica,RIOPIEDRAS,3.5,284
2013-2014,Masculino,Privada,UTUADO,2.77,205
2011-2012,Femenino,Publica,CAYEY,3.22,269
2013-2014,Masculino,Publica,UTUADO,2.67,240
2012-2013,Femenino,Publica,CAROLINA,3.86,318
2010-2011,Masculino,Publica,PONCE,2.89,253
2012-2013,Masculino,Publica,PONCE,3.81,259
2010-2011,Femenino,Privada,PONCE,3.52,257
2010-2011,Masculino,Privada,HUMACAO,3.54,288
2012-2013,Femenino,Privada,RUM,4,376
2010-2011,Femenino,Publica,PONCE,4,316
2009-2010,Masculino,Publica,RUM,3.97,352
2011-2012,Femenino,Publica,CAROLINA,3.21,249
2013-2014,Femenino,Publica,RUM,3.53,272
2013-2014,Masculino,Publica,RIOPIEDRAS,4,339
2013-2014,Femenino,Publica,ARECIBO,4,316
2010-2011,Femenino,Publica,AGUADILLA,4,324
2012-2013,Masculino,Publica,RUM,4,339
2011-2012,Masculino,Privada,RUM,3.5,272
2013-2014,Masculino,Publica,RUM,4,372
2009-2010,Masculino,Publica,AGUADILLA,2.95,251
2012-2013,Masculino,Publica,AGUADILLA,2.89,232
2012-2013,Femenino,Publica,RIOPIEDRAS,3.79,281
2011-2012,Masculino,Privada,RUM,2.39,268
2009-2010,Masculino,Publica,HUMACAO,3.33,254
2009-2010,Femenino,Privada,ARECIBO,3.11,263
2009-2010,Masculino,Publica,CAYEY,4,331
2011-2012,Femenino,Privada,RUM,4,347
2013-2014,Femenino,Publica,RUM,3.66,286
2012-2013,Masculino,Publica,ARECIBO,3.89,295
2009-2010,Femenino,Publica,RUM,3.58,292
2009-2010,Femenino,Publica,AGUADILLA,3.88,277
2013-2014,Masculino,Publica,BAYAMON,2.86,271
2011-2012,Femenino,Privada,RUM,3.93,327
2012-2013,Masculino,Publica,AGUADILLA,3.64,304
2012-2013,Femenino,Publica,BAYAMON,3.58,260
2009-2010,Masculino,Privada,AGUADILLA,2.83,236
2011-2012,Femenino,Privada,RUM,3.95,323
2009-2010,Femenino,Privada,RUM,3.11,263
2012-2013,Femenino,Publica,RIOPIEDRAS,3.47,292
2013-2014,Femenino,Publica,RUM,3.57,317
2010-2011,Masculino,Publica,ARECIBO,3.09,252
2009-2010,Femenino,Privada,CAYEY,3.86,304
2011-2012,Femenino,Privada,RUM,3.95,323
2013-2014,Masculino,Privada,RUM,3.13,302
2011-2012,Masculino,Privada,BAYAMON,2.84,276
2011-2012,Femenino,Privada,RIOPIEDRAS,3.8,361
2012-2013,Masculino,Publica,RIOPIEDRAS,4,335
2012-2013,Femenino,Publica,RUM,4,326
2009-2010,Masculino,Publica,RUM,4,370
2011-2012,Masculino,Publica,RUM,4,341
2011-2012,Masculino,Publica,AGUADILLA,3.62,256
2010-2011,Femenino,Publica,AGUADILLA,3.71,324
2012-2013,Masculino,Publica,RUM,3.81,328
2012-2013,Femenino,Privada,CAYEY,3.83,300
2013-2014,Femenino,Privada,RUM,3.56,289
2010-2011,Masculino,Publica,AGUADILLA,3.82,307
2011-2012,Masculino,Publica,RUM,3.44,274
2012-2013,Femenino,Privada,RIOPIEDRAS,3.83,300
2012-2013,Masculino,Publica,RUM,4,335
2012-2013,Femenino,Privada,CAROLINA,2.29,240
2011-2012,Femenino,Publica,ARECIBO,3.62,279
2009-2010,Femenino,Privada,CAROLINA,2.75,236
2010-2011,Femenino,Privada,RIOPIEDRAS,3.93,327
2010-2011,Masculino,Publica,RUM,2.91,267
2009-2010,Femenino,Foranea,RIOPIEDRAS,3.09,236
2011-2012,Masculino,Publica,RUM,4,327
2009-2010,Masculino,Publica,UTUADO,2.12,222
2013-2014,Masculino,Publica,RUM,3.82,263
2012-2013,Masculino,Publica,RUM,4,321
2011-2012,Femenino,Publica,RUM,4,312
2010-2011,Femenino,Privada,RIOPIEDRAS,3.59,317
2012-2013,Masculino,Privada,RIOPIEDRAS,3.78,331
2013-2014,Femenino,Publica,AGUADILLA,2.89,240
2010-2011,Masculino,Publica,AGUADILLA,4,352
2011-2012,Femenino,Publica,ARECIBO,3.65,244
2011-2012,Masculino,Privada,RIOPIEDRAS,3.93,366
2010-2011,Masculino,Publica,RUM,4,335
2011-2012,Masculino,Publica,AGUADILLA,3.85,319
2012-2013,Masculino,Publica,RUM,3.81,328
2013-2014,Femenino,Publica,ARECIBO,3.79,296
2013-2014,Masculino,Publica,BAYAMON,3.71,300
2013-2014,Femenino,Privada,RUM,3.7,293
2011-2012,Femenino,Publica,ARECIBO,3,277
2012-2013,Femenino,Publica,HUMACAO,3.45,260
2009-2010,Femenino,Privada,CAROLINA,3.14,272
2012-2013,Masculino,Privada,BAYAMON,3.92,302
2011-2012,Masculino,Publica,AGUADILLA,3.35,288
2012-2013,Masculino,Publica,HUMACAO,3.09,275
2011-2012,Masculino,Privada,RUM,3.31,318
2010-2011,Masculino,Publica,RUM,2.75,257
2013-2014,Femenino,Publica,PONCE,3.95,290
2009-2010,Masculino,Privada,RUM,4,364
2009-2010,Masculino,Publica,RUM,3.9,363
2009-2010,Femenino,Publica,RUM,4,323
2010-2011,Femenino,Privada,RIOPIEDRAS,3.97,346
2009-2010,Masculino,Publica,PONCE,3.83,356
2010-2011,Femenino,Publica,ARECIBO,3.77,248
2013-2014,Masculino,Privada,RUM,2.95,287
2010-2011,Femenino,Publica,UTUADO,3.77,248
2011-2012,Femenino,Publica,AGUADILLA,3.54,302
2012-2013,Femenino,Privada,CAROLINA,3.76,346
2011-2012,Masculino,Privada,AGUADILLA,3.83,307
2010-2011,Femenino,Privada,RIOPIEDRAS,3.17,315
2012-2013,Masculino,Publica,RUM,3.73,286
2013-2014,Masculino,Publica,AGUADILLA,4,302
2012-2013,Femenino,Publica,AGUADILLA,4,321
2012-2013,Femenino,Privada,BAYAMON,3.93,314
2009-2010,Femenino,Publica,AGUADILLA,3.39,246
2013-2014,Femenino,Privada,ARECIBO,3.6,262
2013-2014,Femenino,Publica,PONCE,3.67,305
2011-2012,Masculino,Publica,RUM,3.34,275
2012-2013,Femenino,Publica,AGUADILLA,4,321
2010-2011,Masculino,Publica,RUM,3.3,291
2009-2010,Masculino,Privada,RIOPIEDRAS,4,366
2010-2011,Masculino,Publica,ARECIBO,3.97,335
2013-2014,Masculino,Privada,ARECIBO,3.25,265
2010-2011,Masculino,Publica,AGUADILLA,3.83,282
2013-2014,Femenino,Publica,RUM,3.91,313
2009-2010,Femenino,Publica,RUM,3.91,334
2012-2013,Masculino,Publica,PONCE,3.97,301
2009-2010,Masculino,Privada,RIOPIEDRAS,3.82,364
2009-2010,Masculino,Publica,AGUADILLA,2.75,242
2009-2010,Femenino,Privada,RIOPIEDRAS,4,331
2009-2010,Femenino,Publica,RUM,3.83,304
2012-2013,Masculino,Publica,BAYAMON,3.48,284
2009-2010,Femenino,Publica,AGUADILLA,3.89,271
2013-2014,Femenino,Privada,AGUADILLA,2.47,226
2009-2010,Femenino,Publica,AGUADILLA,3.89,271
2010-2011,Femenino,Privada,RUM,3.93,325
2009-2010,Masculino,Publica,ARECIBO,2.39,246
2012-2013,Femenino,Publica,AGUADILLA,3.3,236
2011-2012,Femenino,Publica,ARECIBO,3.51,253
2010-2011,Femenino,Publica,ARECIBO,3.21,249
2010-2011,Masculino,Homeschooling,HUMACAO,3.39,284
2012-2013,Femenino,Publica,UTUADO,3.48,283
2013-2014,Femenino,Privada,CAYEY,3.69,272
2012-2013,Femenino,Publica,ARECIBO,3.48,283
2010-2011,Masculino,Publica,UTUADO,3.49,244
2013-2014,Femenino,Privada,AGUADILLA,3.23,261
2011-2012,Femenino,Publica,RUM,3.51,253
2010-2011,Femenino,Publica,HUMACAO,3.71,295
2010-2011,Femenino,Privada,RIOPIEDRAS,4,370
2011-2012,Masculino,Publica,AGUADILLA,3.73,314
2013-2014,Masculino,Publica,CAROLINA,3.36,249
2012-2013,Femenino,Publica,AGUADILLA,4,317
2011-2012,Masculino,Privada,RUM,4,288
2010-2011,Femenino,Publica,RUM,4,354
2010-2011,Masculino,Publica,ARECIBO,3.87,315
2010-2011,Femenino,Privada,HUMACAO,3.59,285
2012-2013,Masculino,Publica,ARECIBO,3.54,312
2009-2010,Femenino,Publica,AGUADILLA,3,253
2010-2011,Masculino,Privada,RIOPIEDRAS,3,265
2013-2014,Femenino,Publica,RIOPIEDRAS,3.85,304
2011-2012,Masculino,Publica,RUM,3.73,314
2012-2013,Masculino,Publica,RUM,3.6,334
2013-2014,Masculino,Privada,RUM,3.8,286
2011-2012,Masculino,Publica,RUM,4,358
2009-2010,Femenino,Publica,CAROLINA,3.27,263
2013-2014,Femenino,Publica,ARECIBO,3.75,306
2012-2013,Femenino,Publica,ARECIBO,3.26,288
2011-2012,Masculino,Publica,AGUADILLA,2.45,246
2009-2010,Masculino,Publica,UTUADO,2.76,193
2013-2014,Masculino,Publica,RUM,3.48,276
2009-2010,Femenino,Privada,HUMACAO,4,328
2012-2013,Masculino,Privada,RUM,3.71,350
2012-2013,Masculino,Publica,RIOPIEDRAS,3.68,321
2009-2010,Masculino,Privada,RUM,3.62,316
2009-2010,Masculino,Privada,ARECIBO,3.23,265
2009-2010,Femenino,Privada,ARECIBO,3.6,285
2009-2010,Femenino,Privada,RIOPIEDRAS,3.98,341
2009-2010,Masculino,Privada,AGUADILLA,4,294
2010-2011,Femenino,Privada,RIOPIEDRAS,4,366
2010-2011,Femenino,Privada,RIOPIEDRAS,3.29,267
2013-2014,Femenino,Privada,RUM,3.87,332
2011-2012,Femenino,Publica,AGUADILLA,3.68,317
2012-2013,Femenino,Privada,RUM,3.6,336
2012-2013,Masculino,Publica,UTUADO,2.25,213
2012-2013,Femenino,Privada,RIOPIEDRAS,4,335
2009-2010,Femenino,Publica,RUM,3.87,328
2011-2012,Femenino,Publica,CAROLINA,3.96,313
2013-2014,Masculino,Publica,BAYAMON,3.72,308
2010-2011,Femenino,Privada,RUM,3.48,301
2013-2014,Masculino,Privada,HUMACAO,3.33,304
2013-2014,Masculino,Privada,BAYAMON,3.35,292
2009-2010,Femenino,Privada,RIOPIEDRAS,3.79,323
2009-2010,Masculino,Privada,RIOPIEDRAS,3.39,307
2009-2010,Femenino,Privada,CAROLINA,3.6,285
2012-2013,Masculino,Publica,RUM,4,383
2012-2013,Masculino,Publica,AGUADILLA,4,302
2013-2014,Masculino,Publica,ARECIBO,2.58,224
2013-2014,Femenino,Estados Unidos,BAYAMON,3.15,251
2012-2013,Masculino,Publica,HUMACAO,3.63,282
2013-2014,Femenino,Publica,ARECIBO,3.38,263
2011-2012,Masculino,Publica,RUM,3.47,274
2009-2010,Masculino,Privada,RUM,3.33,317
2011-2012,Masculino,Privada,ARECIBO,3.94,315
