DateSerialNo, y1=PobMayor16 
33239,2527
33270,2529
33298,2531
33329,2532
33359,2533
33390,2535
33420,2536
33451,2538
33482,2540
33512,2542
33543,2543
33573,2544
33604,2548
33635,2551
33664,2553
33695,2554
33725,2555
33756,2558
33786,2562
33817,2567
33848,2571
33878,2572
33909,2572
33939,2573
33970,2579
34001,2583
34029,2587
34060,2592
34090,2595
34121,2598
34151,2598
34182,2600
34213,2605
34243,2611
34274,2618
34304,2625
34335,2627
34366,2633
34394,2637
34425,2642
34455,2646
34486,2650
34516,2653
34547,2655
34578,2656
34608,2659
34639,2663
34669,2667
34700,2670
34731,2669
34759,2670
34790,2670
34820,2669
34851,2669
34881,2677
34912,2679
34943,2682
34973,2681
35004,2681
35034,2682
35065,2684
35096,2687
35125,2688
35156,2689
35186,2691
35217,2693
35247,2693
35278,2694
35309,2697
35339,2701
35370,2704
35400,2707
35431,2709
35462,2709
35490,2711
35521,2713
35551,2715
35582,2719
35612,2725
35643,2728
35674,2731
35704,2736
35735,2740
35765,2744
35796,2748
35827,2750
35855,2752
35886,2754
35916,2756
35947,2755
35977,2756
36008,2759
36039,2763
36069,2766
36100,2774
36130,2774
36161,2776
36192,2780
36220,2783
36251,2785
36281,2785
36312,2786
36342,2788
36373,2791
36404,2792
36434,2792
36465,2793
36495,2798
36526,2798
36557,2801
36586,2804
36617,2804
36647,2804
36678,2805
36708,2807
36739,2807
36770,2808
36800,2810
36831,2812
36861,2814
36892,2815
36923,2819
36951,2819
36982,2823
37012,2827
37043,2831
37073,2833
37104,2838
37135,2844
37165,2850
37196,2856
37226,2860
37257,2864
37288,2868
37316,2874
37347,2878
37377,2882
37408,2886
37438,2889
37469,2892
37500,2893
37530,2893
37561,2896
37591,2901
37622,2905
37653,2906
37681,2908
37712,2911
37742,2914
37773,2919
37803,2922
37834,2925
37865,2926
37895,2926
37926,2927
37958,2926
37989,2928
38018,2929
38047,2931
38078,2933
38108,2937
38139,2940
38169,2941
38200,2941
38231,2942
38261,2943
38292,2944
38322,2943
38355,2943
38386,2947
38414,2948
38445,2950
38475,2950
38504,2953
38534,2956
38565,2960
38596,2964
38626,2967
38657,2971
38687,2977
38720,2975
38751,2978
38779,2979
38810,2980
38840,2981
38871,2979
38901,2980
38932,2984
38963,2983
38993,2987
39024,2989
39054,2995
39085,3002
39116,3009
39144,3014
39175,3020
39205,3023
39236,3026
39266,3023
39297,3030
39328,3029
